id,label
11838,MACTAGGERT MOIRA KI
11872,MARROW/SARAH
11922,MULTIPLE MAN/JAMES A
11972,LIVING LIGHTNING/MIG
11976,RAGE/ELVIN DARYL HAL
11979,SERSI/SYLVIA
11995,MAXIMUS [INHUMAN]
11996,MEDUSA/MEDUSALITH AM
12034,FIREFIST/RUSTY COLLI
12042,SKIDS/SALLY BLEVINS
12135,CALIBAN/
12136,MAGMA/AMARA AQUILLA/
12330,LILANDRA NERAMANI [S
12384,THUNDERBIRD II/JAMES
12588,WHITE QUEEN/EMMA FRO
12644,FRIGGA
12744,CYPHER/DOUG RAMSEY
12745,BOOMER/TABITHA SMITH
12746,RICTOR/JULIO ESTEBAN
12748,SIRYN/THERESA ROURKE
12891,KARMA/XI'AN COY MANH
13893,CORSAIR
14614,CH'OD
14825,MADDICKS ARTHUR ART
15394,LEECH
15648,MAM'SELLE HEPZIBAH
15649,RAZA LONGKNIFE
