Source,Target,Type,id,label,timeset,weight
10560,10561,Undirected,225147,,,94
10679,10721,Undirected,226150,,,94
11165,11540,Undirected,228910,,,94
11263,10679,Undirected,239342,,,94
11469,10779,Undirected,239792,,,94
10551,10557,Undirected,228322,,,93
10558,10830,Undirected,225500,,,93
10570,10963,Undirected,226382,,,93
10625,10622,Undirected,234793,,,93
10698,10868,Undirected,225585,,,93
10477,10476,Undirected,224130,,,92
10551,10570,Undirected,225397,,,92
10551,10575,Undirected,225516,,,92
10843,10551,Undirected,230816,,,92
10556,11839,Undirected,231152,,,91
10706,10692,Undirected,225622,,,91
10921,10532,Undirected,225706,,,91
10542,10551,Undirected,228601,,,90
10802,10805,Undirected,238666,,,90
11422,10530,Undirected,237897,,,90
10679,10607,Undirected,226151,,,89
10827,10586,Undirected,228443,,,89
11469,10589,Undirected,231634,,,89
10551,10747,Undirected,227877,,,88
10553,10535,Undirected,225440,,,88
10559,10556,Undirected,224669,,,88
10844,10578,Undirected,228654,,,88
10689,10698,Undirected,231155,,,87
10844,10838,Undirected,225491,,,87
11567,11149,Undirected,229249,,,87
10476,10830,Undirected,225339,,,86
10521,10551,Undirected,226454,,,86
10560,10556,Undirected,224665,,,86
11567,10907,Undirected,229250,,,86
10535,10585,Undirected,228318,,,85
10679,10595,Undirected,226154,,,85
10827,10543,Undirected,225344,,,85
11263,10577,Undirected,239401,,,85
11567,10910,Undirected,229248,,,85
10551,10565,Undirected,227876,,,84
11251,11254,Undirected,231987,,,84
10827,10826,Undirected,225371,,,83
11567,10906,Undirected,229256,,,83
10561,10575,Undirected,227014,,,82
10551,11165,Undirected,228072,,,81
10559,10561,Undirected,225090,,,81
10571,10578,Undirected,224503,,,81
10805,10806,Undirected,225230,,,81
10910,11149,Undirected,238769,,,81
10947,10638,Undirected,225844,,,81
10532,10747,Undirected,228252,,,80
10711,10673,Undirected,226228,,,80
10530,10638,Undirected,224758,,,79
10532,10551,Undirected,228251,,,79
10556,10607,Undirected,234958,,,79
10659,10654,Undirected,237849,,,79
10805,10800,Undirected,225234,,,79
11567,10908,Undirected,229246,,,79
10644,10645,Undirected,224764,,,78
11116,10521,Undirected,278910,,,78
11269,10589,Undirected,240503,,,78
11461,10953,Undirected,231404,,,78
11469,10584,Undirected,231631,,,78
10539,10542,Undirected,228776,,,77
10625,10827,Undirected,225332,,,77
10827,10549,Undirected,228444,,,77
10963,10565,Undirected,228301,,,77
10537,10539,Undirected,225662,,,76
10541,10830,Undirected,225425,,,76
10556,10587,Undirected,225101,,,76
10575,10476,Undirected,224396,,,76
10575,10541,Undirected,224397,,,76
10802,10806,Undirected,225245,,,76
10906,10910,Undirected,229193,,,76
10504,10559,Undirected,225113,,,75
10535,10830,Undirected,225364,,,75
10638,10605,Undirected,225970,,,75
10843,10625,Undirected,228877,,,75
10908,10910,Undirected,229213,,,75
10963,10747,Undirected,228298,,,75
10558,10607,Undirected,225511,,,74
10699,10532,Undirected,225569,,,74
10907,11149,Undirected,229254,,,74
10908,11149,Undirected,229261,,,74
11165,10578,Undirected,226914,,,74
10542,10829,Undirected,228602,,,73
10558,10838,Undirected,225499,,,73
10558,11366,Undirected,228846,,,73
10679,10775,Undirected,226955,,,73
10706,10712,Undirected,227789,,,73
11263,10504,Undirected,231266,,,73
10556,10595,Undirected,236377,,,72
10557,10565,Undirected,228336,,,72
10571,11443,Undirected,228248,,,72
10622,10910,Undirected,238764,,,72
11469,10673,Undirected,234380,,,72
